date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:26:48	67295/67295	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Sep%202013%2010:10:04%20GMT	http://198.74.61.72/themes/preview/ace/index.html	D:/plantillas/MUNI-3/MUNI-PLANTILLA/198.74.61.72/themes/preview/ace/index.html	(from )
18:26:53	47/47	---MCZ	200	added ('OK')	text/plain	date:Sat,%2011%20May%202013%2014:15:29%20GMT	http://198.74.61.72/robots.txt		(from )
18:27:00	96273/96273	---MCZ	200	added ('OK')	text/css	date:Wed,%2004%20Sep%202013%2020:17:32%20GMT	http://198.74.61.72/themes/preview/ace/assets/css/bootstrap.min.css	D:/plantillas/MUNI-3/MUNI-PLANTILLA/198.74.61.72/themes/preview/ace/assets/css/bootstrap.min.css	(from http://198.74.61.72/themes/preview/ace/index.html)
18:27:10	22119/22119	---MCZ	200	added ('OK')	text/css	date:Thu,%2005%20Sep%202013%2023:17:06%20GMT	http://198.74.61.72/themes/preview/ace/assets/css/font-awesome.min.css	D:/plantillas/MUNI-3/MUNI-PLANTILLA/198.74.61.72/themes/preview/ace/assets/css/font-awesome.min.css	(from http://198.74.61.72/themes/preview/ace/index.html)
18:27:12	512/512	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202013%2018:21:46%20GMT	http://198.74.61.72/themes/preview/ace/assets/css/ace-fonts.css	D:/plantillas/MUNI-3/MUNI-PLANTILLA/198.74.61.72/themes/preview/ace/assets/css/ace-fonts.css	(from http://198.74.61.72/themes/preview/ace/index.html)
18:27:20	271482/271482	---MCZ	200	added ('OK')	text/css	date:Tue,%2021%20Jan%202014%2017:28:50%20GMT	http://198.74.61.72/themes/preview/ace/assets/css/ace.min.css	D:/plantillas/MUNI-3/MUNI-PLANTILLA/198.74.61.72/themes/preview/ace/assets/css/ace.min.css	(from http://198.74.61.72/themes/preview/ace/index.html)
18:27:23	36873/36873	---MCZ	200	added ('OK')	text/css	date:Tue,%2021%20Jan%202014%2017:29:12%20GMT	http://198.74.61.72/themes/preview/ace/assets/css/ace-rtl.min.css	D:/plantillas/MUNI-3/MUNI-PLANTILLA/198.74.61.72/themes/preview/ace/assets/css/ace-rtl.min.css	(from http://198.74.61.72/themes/preview/ace/index.html)
18:27:29	26460/26460	---MCZ	200	added ('OK')	text/css	date:Tue,%2021%20Jan%202014%2017:29:30%20GMT	http://198.74.61.72/themes/preview/ace/assets/css/ace-skins.min.css	D:/plantillas/MUNI-3/MUNI-PLANTILLA/198.74.61.72/themes/preview/ace/assets/css/ace-skins.min.css	(from http://198.74.61.72/themes/preview/ace/index.html)
18:27:32	5964/5964	---MCZ	200	added ('OK')	application/x-javascript	date:Fri,%2006%20Sep%202013%2009:49:24%20GMT	http://198.74.61.72/themes/preview/ace/assets/js/ace-extra.min.js	D:/plantillas/MUNI-3/MUNI-PLANTILLA/198.74.61.72/themes/preview/ace/assets/js/ace-extra.min.js	(from http://198.74.61.72/themes/preview/ace/index.html)
18:27:38	3991/3991	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Mar%202013%2015:47:04%20GMT	http://198.74.61.72/themes/preview/ace/assets/avatars/avatar.png	D:/plantillas/MUNI-3/MUNI-PLANTILLA/198.74.61.72/themes/preview/ace/assets/avatars/avatar.png	(from http://198.74.61.72/themes/preview/ace/index.html)
18:27:44	3912/3912	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Mar%202013%2015:47:14%20GMT	http://198.74.61.72/themes/preview/ace/assets/avatars/avatar3.png	D:/plantillas/MUNI-3/MUNI-PLANTILLA/198.74.61.72/themes/preview/ace/assets/avatars/avatar3.png	(from http://198.74.61.72/themes/preview/ace/index.html)
18:27:46	3802/3802	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Mar%202013%2015:47:30%20GMT	http://198.74.61.72/themes/preview/ace/assets/avatars/avatar4.png	D:/plantillas/MUNI-3/MUNI-PLANTILLA/198.74.61.72/themes/preview/ace/assets/avatars/avatar4.png	(from http://198.74.61.72/themes/preview/ace/index.html)
18:27:50	66530/66530	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Sep%202013%2010:01:10%20GMT	http://198.74.61.72/themes/preview/ace/inbox.html	D:/plantillas/MUNI-3/MUNI-PLANTILLA/198.74.61.72/themes/preview/ace/inbox.html	(from http://198.74.61.72/themes/preview/ace/index.html)
18:27:56	1191/1191	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Mar%202013%2020:04:28%20GMT	http://198.74.61.72/themes/preview/ace/assets/avatars/user.jpg	D:/plantillas/MUNI-3/MUNI-PLANTILLA/198.74.61.72/themes/preview/ace/assets/avatars/user.jpg	(from http://198.74.61.72/themes/preview/ace/index.html)
18:27:59	31765/31765	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Sep%202013%2010:01:10%20GMT	http://198.74.61.72/themes/preview/ace/typography.html	D:/plantillas/MUNI-3/MUNI-PLANTILLA/198.74.61.72/themes/preview/ace/typography.html	(from http://198.74.61.72/themes/preview/ace/index.html)
18:28:03	59522/59522	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Sep%202013%2010:10:14%20GMT	http://198.74.61.72/themes/preview/ace/elements.html	D:/plantillas/MUNI-3/MUNI-PLANTILLA/198.74.61.72/themes/preview/ace/elements.html	(from http://198.74.61.72/themes/preview/ace/index.html)
18:28:08	56554/56554	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Sep%202013%2010:01:10%20GMT	http://198.74.61.72/themes/preview/ace/buttons.html	D:/plantillas/MUNI-3/MUNI-PLANTILLA/198.74.61.72/themes/preview/ace/buttons.html	(from http://198.74.61.72/themes/preview/ace/index.html)
18:28:14	24121/24121	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Sep%202013%2010:01:10%20GMT	http://198.74.61.72/themes/preview/ace/treeview.html	D:/plantillas/MUNI-3/MUNI-PLANTILLA/198.74.61.72/themes/preview/ace/treeview.html	(from http://198.74.61.72/themes/preview/ace/index.html)
18:28:20	38880/38880	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Sep%202013%2010:01:10%20GMT	http://198.74.61.72/themes/preview/ace/jquery-ui.html	D:/plantillas/MUNI-3/MUNI-PLANTILLA/198.74.61.72/themes/preview/ace/jquery-ui.html	(from http://198.74.61.72/themes/preview/ace/index.html)
18:28:26	28011/28011	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Sep%202013%2010:01:10%20GMT	http://198.74.61.72/themes/preview/ace/nestable-list.html	D:/plantillas/MUNI-3/MUNI-PLANTILLA/198.74.61.72/themes/preview/ace/nestable-list.html	(from http://198.74.61.72/themes/preview/ace/index.html)
18:28:29	99684/99684	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Sep%202013%2010:01:10%20GMT	http://198.74.61.72/themes/preview/ace/tables.html	D:/plantillas/MUNI-3/MUNI-PLANTILLA/198.74.61.72/themes/preview/ace/tables.html	(from http://198.74.61.72/themes/preview/ace/index.html)
